This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 201803 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed daily.  Big means a firm is above the median market cap on the NYSE
at the end of the previous day; small firms are below the median NYSE market cap.
Prior return is measured from day - 250 to - 21.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
19261103,   0.57
19261104,  -0.52
19261105,   1.15
19261106,  -0.04
19261108,  -0.01
19261109,   0.17
19261110,   0.28
19261111,  -0.93
19261112,  -0.31
19261113,   0.39
19261115,  -0.06
19261116,  -0.06
19261117,   0.12
19261118,   0.53
19261119,   0.23
19261120,  -0.33
19261122,  -0.11
19261123,   0.54
19261124,  -0.42
19261126,  -0.21
19261127,   0.37
19261129,  -0.09
19261130,   0.16
19261201,  -0.09
19261202,  -0.05
19261203,  -0.52
19261204,   0.06
19261206,   0.18
19261207,   0.27
19261208,   0.19
19261209,  -0.54
19261210,   0.01
19261211,  -0.48
19261213,  -0.77
19261214,   0.59
19261215,  -0.30
19261216,  -0.03
19261217,   0.11
19261218,  -0.27
19261220,   0.71
19261221,   0.48
19261222,   0.04
19261223,   0.42
19261224,   0.26
19261227,   0.24
19261228,   0.33
19261229,  -0.14
19261230,  -0.03
19261231,  -0.69
19270103,   0.03
19270104,  -0.19
19270105,  -0.48
19270106,  -0.15
19270107,   0.64
19270108,  -0.51
19270110,   0.18
19270111,   0.22
19270112,   0.34
19270113,   0.24
19270114,   0.52
19270115,   0.87
19270117,  -0.01
19270118,  -0.26
19270119,  -0.50
19270120,   0.15
19270121,   0.33
19270122,   0.79
19270124,   0.20
19270125,  -0.38
19270126,   0.35
19270127,  -0.28
19270128,   0.37
19270129,   0.52
19270131,   0.46
19270201,  -0.14
19270202,  -0.17
19270203,   0.53
19270204,  -0.68
19270205,   0.02
19270207,  -0.46
19270208,  -0.25
19270209,  -0.36
19270210,  -0.07
19270211,  -0.07
19270214,   0.49
19270215,   0.25
19270216,   0.42
19270217,   0.77
19270218,   0.28
19270219,  -0.40
19270221,  -0.01
19270223,   0.19
19270224,  -0.08
19270225,  -0.46
19270226,   0.06
19270228,   0.30
19270301,   0.20
19270302,  -0.23
19270303,   0.75
19270304,  -0.31
19270305,   0.06
19270307,   0.27
19270308,  -0.02
19270309,   0.41
19270310,   0.41
19270311,   0.58
19270312,  -0.62
19270314,   0.49
19270315,  -0.15
19270316,   1.07
19270317,   0.13
19270318,  -0.25
19270319,   0.09
19270321,   0.23
19270322,  -0.57
19270323,  -0.24
19270324,   0.96
19270325,   0.11
19270326,  -0.50
19270328,   0.48
19270329,   0.51
19270330,   0.69
19270331,  -0.15
19270401,   0.43
19270402,  -0.18
19270404,   0.94
19270405,   0.27
19270406,   0.01
19270407,  -0.20
19270408,   0.92
19270409,   0.91
19270411,  -0.16
19270412,  -0.78
19270413,  -0.13
19270414,  -0.30
19270416,   0.40
19270418,   0.39
19270419,  -0.01
19270420,  -0.07
19270421,   0.19
19270422,   0.43
19270423,   0.27
19270425,  -0.59
19270426,   0.51
19270427,   1.04
19270428,  -0.41
19270429,   0.24
19270430,  -0.02
19270502,   0.44
19270503,   0.52
19270504,  -0.54
19270505,  -0.31
19270506,  -0.10
19270507,  -0.22
19270509,   0.62
19270510,  -0.06
19270511,  -0.39
19270512,  -0.10
19270513,   0.95
19270514,  -0.17
19270516,   0.00
19270517,   0.75
19270518,   0.52
19270519,   0.35
19270520,   0.05
19270521,  -0.58
19270523,   0.92
19270524,   0.03
19270525,   0.12
19270526,  -0.61
19270527,   0.82
19270528,  -0.23
19270531,   0.73
19270601,   1.53
19270602,   0.09
19270603,  -0.60
19270604,   0.56
19270606,   0.24
19270607,  -0.39
19270608,  -0.47
19270609,   0.00
19270610,  -0.38
19270611,  -0.05
19270614,  -0.83
19270615,   0.94
19270616,   0.64
19270617,   0.49
19270618,   0.09
19270620,  -0.26
19270621,   0.22
19270622,   0.13
19270623,  -0.44
19270624,   0.33
19270625,   0.56
19270627,  -0.30
19270628,  -0.08
19270629,  -0.14
