,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额,累计涨幅
0,2002-01-04,'000300,沪深300,1316.46,1316.46,1316.46,1316.46,None,None,None,0,0.0,
1,2002-01-07,'000300,沪深300,1302.08,1302.08,1302.08,1302.08,1316.46,-14.38,-1.0923,0,0.0,
2,2002-01-08,'000300,沪深300,1292.71,1292.71,1292.71,1292.71,1302.08,-9.37,-0.7196,0,0.0,
3,2002-01-09,'000300,沪深300,1272.65,1272.65,1272.65,1272.65,1292.71,-20.06,-1.5518,0,0.0,
4,2002-01-10,'000300,沪深300,1281.26,1281.26,1281.26,1281.26,1272.65,8.61,0.6765,0,0.0,
5,2002-01-11,'000300,沪深300,1249.81,1249.81,1249.81,1249.81,1281.26,-31.45,-2.4546,0,0.0,
6,2002-01-14,'000300,沪深300,1205.15,1205.15,1205.15,1205.15,1249.81,-44.66,-3.5733,0,0.0,
7,2002-01-15,'000300,沪深300,1186.43,1186.43,1186.43,1186.43,1205.15,-18.72,-1.5533,0,0.0,
8,2002-01-16,'000300,沪深300,1201.88,1201.88,1201.88,1201.88,1186.43,15.45,1.3022,0,0.0,
9,2002-01-17,'000300,沪深300,1152.15,1152.15,1152.15,1152.15,1201.88,-49.73,-4.1377,0,0.0,
10,2002-01-18,'000300,沪深300,1149.48,1149.48,1149.48,1149.48,1152.15,-2.67,-0.2317,0,0.0,
11,2002-01-21,'000300,沪深300,1108.61,1108.61,1108.61,1108.61,1149.48,-40.87,-3.5555,0,0.0,
12,2002-01-22,'000300,沪深300,1109.99,1109.99,1109.99,1109.99,1108.61,1.38,0.1245,0,0.0,
13,2002-01-23,'000300,沪深300,1183.15,1183.15,1183.15,1183.15,1109.99,73.16,6.5911,0,0.0,
14,2002-01-24,'000300,沪深300,1189.58,1189.58,1189.58,1189.58,1183.15,6.43,0.5435,0,0.0,
15,2002-01-25,'000300,沪深300,1189.43,1189.43,1189.43,1189.43,1189.58,-0.15,-0.0126,0,0.0,
16,2002-01-28,'000300,沪深300,1112.83,1112.83,1112.83,1112.83,1189.43,-76.6,-6.4401,0,0.0,
17,2002-01-29,'000300,沪深300,1140.38,1140.38,1140.38,1140.38,1112.83,27.55,2.4757,0,0.0,
18,2002-01-30,'000300,沪深300,1145.86,1145.86,1145.86,1145.86,1140.38,5.48,0.4805,0,0.0,
19,2002-01-31,'000300,沪深300,1221.76,1221.76,1221.76,1221.76,1145.86,75.9,6.6238,0,0.0,
20,2002-02-01,'000300,沪深300,1215.74,1215.74,1215.74,1215.74,1221.76,-6.02,-0.4927,0,0.0,
21,2002-02-04,'000300,沪深300,1236.97,1236.97,1236.97,1236.97,1215.74,21.23,1.7463,0,0.0,
22,2002-02-05,'000300,沪深300,1246.84,1246.84,1246.84,1246.84,1236.97,9.87,0.7979,0,0.0,
23,2002-02-06,'000300,沪深300,1216.79,1216.79,1216.79,1216.79,1246.84,-30.05,-2.4101,0,0.0,
24,2002-02-07,'000300,沪深300,1241.02,1241.02,1241.02,1241.02,1216.79,24.23,1.9913,0,0.0,
25,2002-02-08,'000300,沪深300,1235.09,1235.09,1235.09,1235.09,1241.02,-5.93,-0.4778,0,0.0,
26,2002-02-25,'000300,沪深300,1254.61,1254.61,1254.61,1254.61,1235.09,19.52,1.5805,0,0.0,
27,2002-02-26,'000300,沪深300,1253.12,1253.12,1253.12,1253.12,1254.61,-1.49,-0.1188,0,0.0,
28,2002-02-27,'000300,沪深300,1256.0,1256.0,1256.0,1256.0,1253.12,2.88,0.2298,0,0.0,
29,2002-02-28,'000300,沪深300,1244.6,1244.6,1244.6,1244.6,1256,-11.4,-0.9076,0,0.0,
30,2002-03-01,'000300,沪深300,1227.23,1227.23,1227.23,1227.23,1244.6,-17.37,-1.3956,0,0.0,
31,2002-03-04,'000300,沪深300,1245.87,1245.87,1245.87,1245.87,1227.23,18.64,1.5189,0,0.0,
32,2002-03-05,'000300,沪深300,1275.61,1275.61,1275.61,1275.61,1245.87,29.74,2.3871,0,0.0,
33,2002-03-06,'000300,沪深300,1288.44,1288.44,1288.44,1288.44,1275.61,12.83,1.0058,0,0.0,
34,2002-03-07,'000300,沪深300,1328.39,1328.39,1328.39,1328.39,1288.44,39.95,3.1006,0,0.0,
35,2002-03-08,'000300,沪深300,1351.85,1351.85,1351.85,1351.85,1328.39,23.46,1.766,0,0.0,
36,2002-03-11,'000300,沪深300,1377.04,1377.04,1377.04,1377.04,1351.85,25.19,1.8634,0,0.0,
37,2002-03-12,'000300,沪深300,1362.4,1362.4,1362.4,1362.4,1377.04,-14.64,-1.0631,0,0.0,
38,2002-03-13,'000300,沪深300,1343.14,1343.14,1343.14,1343.14,1362.4,-19.26,-1.4137,0,0.0,
39,2002-03-14,'000300,沪深300,1376.33,1376.33,1376.33,1376.33,1343.14,33.19,2.4711,0,0.0,
40,2002-03-15,'000300,沪深300,1338.7,1338.7,1338.7,1338.7,1376.33,-37.63,-2.7341,0,0.0,
41,2002-03-18,'000300,沪深300,1341.91,1341.91,1341.91,1341.91,1338.7,3.21,0.2398,0,0.0,
42,2002-03-19,'000300,沪深300,1368.38,1368.38,1368.38,1368.38,1341.91,26.47,1.9726,0,0.0,
43,2002-03-20,'000300,沪深300,1382.42,1382.42,1382.42,1382.42,1368.38,14.04,1.026,0,0.0,
44,2002-03-21,'000300,沪深300,1385.79,1385.79,1385.79,1385.79,1382.42,3.37,0.2438,0,0.0,
45,2002-03-22,'000300,沪深300,1369.9,1369.9,1369.9,1369.9,1385.79,-15.89,-1.1466,0,0.0,
46,2002-03-25,'000300,沪深300,1373.01,1373.01,1373.01,1373.01,1369.9,3.11,0.227,0,0.0,
47,2002-03-26,'000300,沪深300,1350.01,1350.01,1350.01,1350.01,1373.01,-23,-1.6752,0,0.0,
48,2002-03-27,'000300,沪深300,1354.1,1354.1,1354.1,1354.1,1350.01,4.09,0.303,0,0.0,
49,2002-03-28,'000300,沪深300,1352.53,1352.53,1352.53,1352.53,1354.1,-1.57,-0.1159,0,0.0,
50,2002-03-29,'000300,沪深300,1313.47,1313.47,1313.47,1313.47,1352.53,-39.06,-2.8879,0,0.0,
51,2002-04-01,'000300,沪深300,1317.58,1317.58,1317.58,1317.58,1313.47,4.11,0.3129,0,0.0,
52,2002-04-02,'000300,沪深300,1296.57,1296.57,1296.57,1296.57,1317.58,-21.01,-1.5946,0,0.0,
53,2002-04-03,'000300,沪深300,1302.25,1302.25,1302.25,1302.25,1296.57,5.68,0.4381,0,0.0,
54,2002-04-04,'000300,沪深300,1337.73,1337.73,1337.73,1337.73,1302.25,35.48,2.7245,0,0.0,
55,2002-04-05,'000300,沪深300,1332.2,1332.2,1332.2,1332.2,1337.73,-5.53,-0.4134,0,0.0,
56,2002-04-08,'000300,沪深300,1333.71,1333.71,1333.71,1333.71,1332.2,1.51,0.1133,0,0.0,
57,2002-04-09,'000300,沪深300,1357.74,1357.74,1357.74,1357.74,1333.71,24.03,1.8017,0,0.0,
58,2002-04-10,'000300,沪深300,1366.72,1366.72,1366.72,1366.72,1357.74,8.98,0.6614,0,0.0,
59,2002-04-11,'000300,沪深300,1344.73,1344.73,1344.73,1344.73,1366.72,-21.99,-1.609,0,0.0,
60,2002-04-12,'000300,沪深300,1350.69,1350.69,1350.69,1350.69,1344.73,5.96,0.4432,0,0.0,
61,2002-04-15,'000300,沪深300,1344.58,1344.58,1344.58,1344.58,1350.69,-6.11,-0.4524,0,0.0,
62,2002-04-16,'000300,沪深300,1341.5,1341.5,1341.5,1341.5,1344.58,-3.08,-0.2291,0,0.0,
63,2002-04-17,'000300,沪深300,1341.77,1341.77,1341.77,1341.77,1341.5,0.27,0.0201,0,0.0,
64,2002-04-18,'000300,沪深300,1326.55,1326.55,1326.55,1326.55,1341.77,-15.22,-1.1343,0,0.0,
65,2002-04-19,'000300,沪深300,1330.64,1330.64,1330.64,1330.64,1326.55,4.09,0.3083,0,0.0,
66,2002-04-22,'000300,沪深300,1324.87,1324.87,1324.87,1324.87,1330.64,-5.77,-0.4336,0,0.0,
67,2002-04-23,'000300,沪深300,1318.66,1318.66,1318.66,1318.66,1324.87,-6.21,-0.4687,0,0.0,
68,2002-04-24,'000300,沪深300,1309.73,1309.73,1309.73,1309.73,1318.66,-8.93,-0.6772,0,0.0,
69,2002-04-25,'000300,沪深300,1312.48,1312.48,1312.48,1312.48,1309.73,2.75,0.21,0,0.0,
70,2002-04-26,'000300,沪深300,1331.71,1331.71,1331.71,1331.71,1312.48,19.23,1.4652,0,0.0,
71,2002-04-29,'000300,沪深300,1349.79,1349.79,1349.79,1349.79,1331.71,18.08,1.3577,0,0.0,
72,2002-04-30,'000300,沪深300,1353.61,1353.61,1353.61,1353.61,1349.79,3.82,0.283,0,0.0,
73,2002-05-08,'000300,沪深300,1342.29,1342.29,1342.29,1342.29,1353.61,-11.32,-0.8363,0,0.0,
74,2002-05-09,'000300,沪深300,1344.78,1344.78,1344.78,1344.78,1342.29,2.49,0.1855,0,0.0,
75,2002-05-10,'000300,沪深300,1335.45,1335.45,1335.45,1335.45,1344.78,-9.33,-0.6938,0,0.0,
76,2002-05-13,'000300,沪深300,1319.81,1319.81,1319.81,1319.81,1335.45,-15.64,-1.1711,0,0.0,
77,2002-05-14,'000300,沪深300,1311.68,1311.68,1311.68,1311.68,1319.81,-8.13,-0.616,0,0.0,
78,2002-05-15,'000300,沪深300,1300.12,1300.12,1300.12,1300.12,1311.68,-11.56,-0.8813,0,0.0,
79,2002-05-16,'000300,沪深300,1261.52,1261.52,1261.52,1261.52,1300.12,-38.6,-2.969,0,0.0,
80,2002-05-17,'000300,沪深300,1277.24,1277.24,1277.24,1277.24,1261.52,15.72,1.2461,0,0.0,
81,2002-05-20,'000300,沪深300,1258.83,1258.83,1258.83,1258.83,1277.24,-18.41,-1.4414,0,0.0,
82,2002-05-21,'000300,沪深300,1298.88,1298.88,1298.88,1298.88,1258.83,40.05,3.1815,0,0.0,
83,2002-05-22,'000300,沪深300,1280.16,1280.16,1280.16,1280.16,1298.88,-18.72,-1.4412,0,0.0,
84,2002-05-23,'000300,沪深300,1284.84,1284.84,1284.84,1284.84,1280.16,4.68,0.3656,0,0.0,
85,2002-05-24,'000300,沪深300,1265.97,1265.97,1265.97,1265.97,1284.84,-18.87,-1.4687,0,0.0,
86,2002-05-27,'000300,沪深300,1270.34,1270.34,1270.34,1270.34,1265.97,4.37,0.3452,0,0.0,
87,2002-05-28,'000300,沪深300,1270.38,1270.38,1270.38,1270.38,1270.34,0.04,0.0031,0,0.0,
88,2002-05-29,'000300,沪深300,1246.02,1246.02,1246.02,1246.02,1270.38,-24.36,-1.9175,0,0.0,
89,2002-05-30,'000300,沪深300,1245.89,1245.89,1245.89,1245.89,1246.02,-0.13,-0.0104,0,0.0,
90,2002-05-31,'000300,沪深300,1238.58,1238.58,1238.58,1238.58,1245.89,-7.31,-0.5867,0,0.0,
91,2002-06-03,'000300,沪深300,1213.39,1213.39,1213.39,1213.39,1238.58,-25.19,-2.0338,0,0.0,
92,2002-06-04,'000300,沪深300,1219.52,1219.52,1219.52,1219.52,1213.39,6.13,0.5052,0,0.0,
93,2002-06-05,'000300,沪深300,1196.62,1196.62,1196.62,1196.62,1219.52,-22.9,-1.8778,0,0.0,
94,2002-06-06,'000300,沪深300,1245.61,1245.61,1245.61,1245.61,1196.62,48.99,4.094,0,0.0,
95,2002-06-07,'000300,沪深300,1252.51,1252.51,1252.51,1252.51,1245.61,6.9,0.5539,0,0.0,
96,2002-06-10,'000300,沪深300,1243.74,1243.74,1243.74,1243.74,1252.51,-8.77,-0.7002,0,0.0,
97,2002-06-11,'000300,沪深300,1252.85,1252.85,1252.85,1252.85,1243.74,9.11,0.7325,0,0.0,
98,2002-06-12,'000300,沪深300,1246.84,1246.84,1246.84,1246.84,1252.85,-6.01,-0.4797,0,0.0,
99,2002-06-13,'000300,沪深300,1235.57,1235.57,1235.57,1235.57,1246.84,-11.27,-0.9039,0,0.0,
100,2002-06-14,'000300,沪深300,1222.12,1222.12,1222.12,1222.12,1235.57,-13.45,-1.0886,0,0.0,
101,2002-06-17,'000300,沪深300,1224.65,1224.65,1224.65,1224.65,1222.12,2.53,0.207,0,0.0,
102,2002-06-18,'000300,沪深300,1248.84,1248.84,1248.84,1248.84,1224.65,24.19,1.9753,0,0.0,
103,2002-06-19,'000300,沪深300,1236.05,1236.05,1236.05,1236.05,1248.84,-12.79,-1.0242,0,0.0,
104,2002-06-20,'000300,沪深300,1245.08,1245.08,1245.08,1245.08,1236.05,9.03,0.7306,0,0.0,
