,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,当天涨幅,系数,累计涨幅
0,2013-09-18,'000333,美的集团,42.24,46.4,39.88,40.5,44.56,-2.32,-5.2065,5.6664,38889754,1681303475.55,71230299951.4,28990068476.2,,,
1,2013-09-23,'000333,美的集团,46.2,46.46,40.67,41.9,42.24,3.96,9.375,4.6409,31851606,1406017543.27,77908140571.8,31707887395.8,,,
2,2013-09-24,'000333,美的集团,44.61,46.15,44.4,45.49,46.2,-1.59,-3.4416,2.9148,20004514,901506346.98,75226886383.3,30616641920.5,,,
3,2013-09-25,'000333,美的集团,45.05,47.14,44.0,44.01,44.61,0.44,0.9863,2.501,17165136,781787170.45,75968868674.4,30918621800.5,,,
4,2013-09-26,'000333,美的集团,43.0,45.07,42.45,44.65,45.05,-2.05,-4.5505,2.1391,14680801,640034808.27,72511905727.0,29511670087.0,,,
5,2013-09-27,'000333,美的集团,43.0,44.3,42.67,43.0,43.0,0,0,1.2474,8561465,372250409.07,72511905727.0,29511670087.0,,,
6,2013-09-30,'000333,美的集团,43.24,43.8,42.88,42.99,43.0,0.24,0.5581,1.1173,7668272,331344575.6,72916623340.4,29676386385.2,,,
7,2013-10-08,'000333,美的集团,44.99,45.21,42.9,43.0,43.24,1.75,4.0472,1.6192,11112977,493442850.65,75867689271.1,30877442725.9,,,
8,2013-10-09,'000333,美的集团,44.68,45.54,44.0,44.65,44.99,-0.31,-0.689,1.2101,8305418,370734066.73,75344929020.5,30664684174.1,,,
9,2013-10-10,'000333,美的集团,45.71,46.36,44.14,44.5,44.68,1.03,2.3053,2.2767,15625661,708889939.75,77081842111.2,31371591620.4,,,
10,2013-10-11,'000333,美的集团,45.53,46.05,45.25,46.0,45.71,-0.18,-0.3938,1.1612,7969766,363516964.62,76778303901.2,31248054396.8,,,
11,2013-10-14,'000333,美的集团,46.0,46.33,44.6,45.52,45.53,0.47,1.0323,1.4056,9646785,441424913.34,77570875894.0,31570623814.0,,,
12,2013-10-15,'000333,美的集团,45.15,46.0,44.85,46.0,46.0,-0.85,-1.8478,1.3466,9241988,419089541.24,76137501013.4,30987253591.3,,,
13,2013-10-16,'000333,美的集团,44.67,45.88,43.7,44.76,45.15,-0.48,-1.0631,1.2995,8918362,397199767.47,75328065786.6,30657820995.0,,,
14,2013-10-17,'000333,美的集团,44.61,45.1,44.22,44.68,44.67,-0.06,-0.1343,0.8091,5552669,247582778.37,75226886383.3,30616641920.5,,,
15,2013-10-18,'000333,美的集团,46.01,46.8,44.3,44.52,44.61,1.4,3.1383,1.5184,10420989,478846152.15,77587739127.9,31577486993.1,,,
16,2013-10-21,'000333,美的集团,47.85,48.1,45.68,46.2,46.01,1.84,3.9991,1.9766,13565868,638065955.28,80690574163.6,32840311945.7,,,
17,2013-10-22,'000333,美的集团,47.42,48.31,46.88,47.4,47.85,-0.43,-0.8986,1.1969,8214741,390719938.23,79965455106.4,32545195244.8,,,
18,2013-10-23,'000333,美的集团,46.09,48.43,45.9,47.47,47.42,-1.33,-2.8047,1.2719,8729030,407798443.49,77722644999.0,31632392425.8,,,
19,2013-10-24,'000333,美的集团,47.5,49.6,45.84,46.0,46.09,1.41,3.0592,1.7803,12218451,583397301.42,80100360977.5,32600100677.5,,,
20,2013-10-25,'000333,美的集团,47.7,48.85,47.11,47.43,47.5,0.2,0.4211,1.4911,10233626,490068564.95,80437625655.3,32737364259.3,,,
21,2013-10-28,'000333,美的集团,49.47,49.5,47.5,47.97,47.7,1.77,3.7107,1.5221,10446741,508354445.01,83422418053.8,33952146958.2,,,
22,2013-10-29,'000333,美的集团,48.93,49.68,48.01,49.1,49.47,-0.54,-1.0916,1.4064,9652552,469601271.48,82511803423.8,33581535287.4,,,
23,2013-10-30,'000333,美的集团,50.17,50.66,48.65,49.01,48.93,1.24,2.5342,1.7672,12128524,604865247.77,84602844426.1,34432569494.5,,,
24,2013-10-31,'000333,美的集团,48.4,50.8,47.93,50.68,50.17,-1.77,-3.528,1.4677,10073288,491851069.63,81618052027.6,33217786795.6,,,
25,2013-11-01,'000333,美的集团,47.76,48.79,47.33,47.79,48.4,-0.64,-1.3223,1.0499,7205717,344516586.56,80538805058.6,32778543333.8,,,
26,2013-11-04,'000333,美的集团,47.99,48.5,47.6,47.6,47.76,0.23,0.4816,0.723,4962214,238322433.22,80926659438.1,32936396452.9,,,
27,2013-11-05,'000333,美的集团,48.19,48.41,47.08,47.52,47.99,0.2,0.4168,0.7977,5475095,261530183.36,81263924115.9,33073660034.7,,,
28,2013-11-06,'000333,美的集团,46.75,48.23,46.21,47.98,48.19,-1.44,-2.9882,0.8779,6025131,284031665.55,78835618435.8,32085362245.8,,,
29,2013-11-07,'000333,美的集团,46.22,46.93,45.16,46.52,46.75,-0.53,-1.1337,0.9042,6205677,283865718.07,77941867039.6,31721613754.0,,,
30,2013-11-08,'000333,美的集团,45.66,46.2,45.33,45.8,46.22,-0.56,-1.2116,0.4868,3341133,153053748.71,76997525941.7,31337275724.9,,,
31,2013-11-11,'000333,美的集团,45.78,46.0,44.61,45.69,45.66,0.12,0.2628,0.5218,3580989,162564568.65,77199884748.4,31419633874.0,,,
32,2013-11-12,'000333,美的集团,46.35,47.02,45.5,45.88,45.78,0.57,1.2451,0.9431,6472993,301452116.47,78161089080.1,31810835082.2,,,
33,2013-11-13,'000333,美的集团,45.5,46.34,45.5,45.86,46.35,-0.85,-1.8339,0.4442,3048409,139594995.26,76727714199.5,31227464859.5,,,
34,2013-11-14,'000333,美的集团,46.0,46.32,44.67,45.55,45.5,0.5,1.0989,0.7921,5436007,246139982.62,77570875894.0,31570623814.0,,,
35,2013-11-15,'000333,美的集团,46.2,47.06,45.61,45.87,46.0,0.2,0.4348,0.9356,6421521,298879163.02,77908140571.8,31707887395.8,,,
36,2013-11-18,'000333,美的集团,46.89,47.08,46.1,46.35,46.2,0.69,1.4935,0.7261,4983041,232323741.97,79071703710.2,32181446753.0,,,
37,2013-11-19,'000333,美的集团,46.97,47.5,46.51,46.88,46.89,0.08,0.1706,0.7746,5316174,250109367.97,79206609581.3,32236352185.7,,,
38,2013-11-20,'000333,美的集团,46.68,47.48,46.41,47.48,46.97,-0.29,-0.6174,0.608,4172673,195299676.7,78717575798.5,32037319992.1,,,
39,2013-11-21,'000333,美的集团,45.71,46.7,45.05,46.7,46.68,-0.97,-2.078,0.9621,6602904,300714511.26,77081842111.2,31371591620.4,,,
40,2013-11-22,'000333,美的集团,46.58,46.85,45.66,45.85,45.71,0.87,1.9033,0.6453,4428863,205574946.43,78548943459.6,31968688201.2,,,
41,2013-11-25,'000333,美的集团,45.96,46.31,45.58,45.83,46.58,-0.62,-1.331,0.9209,6320252,289730106.73,77503422958.4,31543171097.6,,,
42,2013-11-26,'000333,美的集团,47.19,47.2,45.7,45.91,45.96,1.23,2.6762,1.145,7858305,367247558.67,79577600726.9,32387342125.7,,,
43,2013-11-27,'000333,美的集团,46.59,47.29,46.25,47.2,47.19,-0.6,-1.2715,0.7893,5417393,252670204.66,78565806693.5,31975551380.3,,,
44,2013-11-28,'000333,美的集团,47.67,47.97,46.6,46.6,46.59,1.08,2.3181,1.0546,7237994,343994300.21,80387035953.6,32716774722.0,,,
45,2013-11-29,'000333,美的集团,47.91,48.0,47.28,47.52,47.67,0.24,0.5035,0.7469,5125945,244627679.93,80791753567.0,32881491020.2,,,
46,2013-12-02,'000333,美的集团,46.13,47.19,46.03,47.02,47.91,-1.78,-3.7153,0.9490000000000001,6513376,304178444.19,77790097934.6,31659845142.2,,,
47,2013-12-03,'000333,美的集团,47.02,47.09,46.0,46.0,46.13,0.89,1.9293,0.8169,5606801,261874434.42,79290925750.8,32270668081.2,,,
48,2013-12-04,'000333,美的集团,47.94,48.4,46.8,47.0,47.02,0.92,1.9566,0.8343,5726006,274690867.03,80842343268.7,32902080557.5,,,
49,2013-12-05,'000333,美的集团,48.54,48.88,47.89,48.06,47.94,0.6,1.2516,0.7976,5473742,265569524.21,81854137302.1,33313871302.9,,,
50,2013-12-06,'000333,美的集团,48.4,48.63,47.73,48.59,48.54,-0.14,-0.2884,0.5601,3844333,185057340.88,81618052027.6,33217786795.6,,,
51,2013-12-09,'000333,美的集团,48.49,48.97,47.95,48.45,48.4,0.09,0.186,0.6859,4707669,227857524.61,81769821132.6,33279555407.4,,,
52,2013-12-10,'000333,美的集团,49.68,50.47,48.8,48.8,48.49,1.19,2.4541,1.5756,10813891,538909457.8,83776545965.5,34096273719.1,,,
53,2013-12-11,'000333,美的集团,48.38,50.0,47.84,49.45,49.68,-1.3,-2.6167,0.9172,6295245,309155364.38,81584325559.8,33204060437.4,,,
54,2013-12-12,'000333,美的集团,49.31,49.49,47.68,48.2,48.38,0.93,1.9223,0.6657,4568478,221437140.19,83152606311.6,33842336092.8,,,
55,2013-12-13,'000333,美的集团,50.15,50.9,48.42,48.51,49.31,0.84,1.7035,1.6009,10987469,551962433.12,84569117958.4,34418843136.3,,,
56,2013-12-16,'000333,美的集团,49.91,51.5,49.8,50.14,50.15,-0.24,-0.4786,1.3955,9577462,485809113.18,84164400345.0,34254126838.2,,,
57,2013-12-17,'000333,美的集团,49.0,50.1,48.92,49.96,49.91,-0.91,-1.8233,0.9334,6405805,315460842.05,82629846061.0,33629577541.0,,,
58,2013-12-18,'000333,美的集团,50.49,50.5,48.5,48.98,49.0,1.49,3.0408,0.9334,6406127,318806468.76,85142467910.6,34652191225.4,,,
59,2013-12-19,'000333,美的集团,49.89,51.38,49.89,50.75,50.49,-0.6,-1.1884,0.9247,6346406,320375899.66,84130673877.2,34240400480.0,,,
60,2013-12-20,'000333,美的集团,51.78,52.0,49.41,49.6,49.89,1.89,3.7883,2.9678,20368231,1029695716.24,87317825082.4,35537541328.0,,,
61,2013-12-23,'000333,美的集团,50.35,51.7,50.01,51.2,51.78,-1.43,-2.7617,1.0278,7054117,357126323.4,84906382636.1,34556106718.2,,,
62,2013-12-24,'000333,美的集团,50.81,51.17,49.77,50.8,50.35,0.46,0.9136,0.9582,6575973,330453340.88,85682091395.1,34871812956.3,,,
63,2013-12-25,'000333,美的集团,50.4,51.12,50.14,51.0,50.81,-0.41,-0.8069,0.6211,4262422,215560125.12,84990698805.6,34590422613.6,,,
64,2013-12-26,'000333,美的集团,48.45,50.2,47.58,50.16,50.4,-1.95,-3.869,1.5432,10590937,515988358.27,81702368197.1,33252102691.0,,,
65,2013-12-27,'000333,美的集团,49.78,50.3,47.82,48.0,48.45,1.33,2.7451,1.0859,7452613,366987474.83,83945178304.4,34164905510.0,,,
66,2013-12-30,'000333,美的集团,49.5,50.54,49.41,49.78,49.78,-0.28,-0.5625,0.6382,4380030,218806910.72,83473007755.5,33972736495.5,,,
67,2013-12-31,'000333,美的集团,50.0,50.1,48.26,49.41,49.5,0.5,1.0101,0.8722,5985944,294099112.29,84316169450.0,34315895450.0,,,
68,2014-01-02,'000333,美的集团,48.92,49.82,48.6,49.4,50.0,-1.08,-2.16,0.575,3946290,193220266.48,82494940189.9,33574672108.3,,,
69,2014-01-03,'000333,美的集团,48.07,48.8,47.11,48.4,48.92,-0.85,-1.7375,1.1051,7584577,362396320.3,81061565309.2,32991301885.6,,,
70,2014-01-06,'000333,美的集团,46.61,47.98,46.36,47.88,48.07,-1.46,-3.0372,0.8731,5992569,279878513.71,78599533161.3,31989277738.5,,,
71,2014-01-07,'000333,美的集团,46.46,47.18,46.2,46.2,46.61,-0.15,-0.3218,0.5014,3440935,160580651.04,78346584652.9,31886330052.1,,,
72,2014-01-08,'000333,美的集团,0.0,0.0,0.0,0.0,46.46,None,None,0.0,0,0.0,78346584652.9,31886330052.1,,,
73,2014-01-09,'000333,美的集团,0.0,0.0,0.0,0.0,46.46,None,None,0.0,0,0.0,78346584652.9,31886330052.1,,,
74,2014-01-10,'000333,美的集团,0.0,0.0,0.0,0.0,46.46,None,None,0.0,0,0.0,78346584652.9,31886330052.1,,,
75,2014-01-13,'000333,美的集团,46.5,48.5,45.8,46.0,46.46,0.04,0.0861,1.0774,7394698,346958966.27,78414037588.5,31913782768.5,,,
76,2014-01-14,'000333,美的集团,48.01,48.06,46.33,46.5,46.5,1.51,3.2473,0.7302,5011533,237738075.33,80960385905.9,32950122811.1,,,
77,2014-01-15,'000333,美的集团,48.4,49.05,47.51,47.7,48.01,0.39,0.8123,0.6275,4306796,208692015.19,81618052027.6,33217786795.6,,,
78,2014-01-16,'000333,美的集团,48.32,49.04,47.81,48.39,48.4,-0.08,-0.1653,0.6185,4245118,205606086.12,81483146156.5,33162881362.9,,,
79,2014-01-17,'000333,美的集团,46.9,48.32,46.67,48.05,48.32,-1.42,-2.9387,0.5856,4019015,190432273.24,79088566944.1,32188309932.1,,,
80,2014-01-20,'000333,美的集团,47.51,47.84,46.51,46.89,46.9,0.61,1.3006,0.5561,3816813,180827659.82,80117224211.4,32606963856.6,,,
